Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
242,Jakub Kiwior,Premier League,30000000,Polen,Verteidiger,946,381,1327,"0,8","0,5","1,3",0,1,3,24,4,FC Arsenal,2,0,"-0,3"
243,Jan Bednarek,Championship,11000000,Polen,Verteidiger,3548,0,3548,"2,2",0,"2,2",0,2,0,28,4,Southampton,11,0,"-0,2"
244,Pawel Dawidowicz,Serie A,3000000,Polen,Verteidiger,2143,0,2143,"0,5",0,"0,5",0,0,0,29,1,Hellas Verona,5,0,"-0,5"
245,Przemyslaw Frankowski,Ligue 1,9000000,Polen,Mittelfeld,2192,690,2882,"3,7",1,"4,7",0,4,4,29,6,RC Lens,5,0,"-0,7"
246,Nicola Zalewski,Serie A,12000000,Polen,Mittelfeld,968,478,1446,"0,8","0,6","1,4",0,0,2,22,5,AS Rom,2,1,"-1,4"
247,Piotr Zielinski,Serie A,22000000,Polen,Mittelfeld,1924,466,2390,"2,6",2,"4,6",0,4,2,30,9,SSC Neapel,2,0,"-0,6"
248,Jakub Piotrowski,efbet Liga,5000000,Polen,Mittelfeld,2551,720,3271,12,1,13,0,15,1,26,3,Ludogorets,7,0,2
249,Bartosz Slisz,MLS,5000000,Polen,Mittelfeld,1131,0,1131,"0,3",0,"0,3",0,1,0,25,1,Atlanta,7,0,"0,7"
250,Robert Lewandowski,LaLiga,15000000,Polen,Sturm,2750,734,3484,"18,1",3,"21,1",0,22,9,35,15,FC Barcelona,6,0,"0,9"
251,Karol Swiderski,Serie A,5000000,Polen,Sturm,504,0,504,"1,7",0,"1,7",0,2,0,27,1,Hellas Verona,0,0,"0,3"
252,Giorgi Mamardashvili,LaLiga,35000000,Georgien,Torwart,3285,0,3285,0,0,0,"73,8",0,0,23,0,FC Valencia,3,1,0
253,Guram Kashia,Nike Liga,250000,Georgien,Verteidiger,625,0,625,"0,5",0,"0,5",0,0,0,36,0,Slo. Bratislava,5,0,"-0,5"
254,Solomon Kvirkvelia,Saudi Pro League,700000,Georgien,Verteidiger,2784,0,2784,1,0,1,0,1,1,32,0,Al-Okhdood,2,0,0
255,Lasha Dvali ,Protathlima Cyta,900000,Georgien,Verteidiger,1493,0,1493,4,0,4,0,3,1,29,0,APOEL Nikosia,0,0,-1
256,Otar Kakabadze,Ekstraklasa,500000,Georgien,Verteidiger,1588,0,1588,2,0,2,0,2,0,28,0,Cracovia,6,1,0
257,Levan Shengelia,Stoiximan Super League,750000,Georgien,Verteidiger,1060,0,1060,2,0,2,0,2,1,28,0,Panetolikos,3,0,0
258,Otar Kiteishvili,ÖBundesliga,5000000,Georgien,Mittelfeld,1927,551,2478,9,"1,1","10,1",0,10,7,28,4,Sturm Graz,10,0,"-0,1"
259,Giorgi Chakvetadze,Championship,2500000,Georgien,Mittelfeld,1602,0,1602,"1,5",0,"1,5",0,1,4,24,5,FC Watford,7,0,"-0,5"
260,Zuriko Davitashvili,Ligue 2,3000000,Georgien,Mittelfeld,2692,0,2692,8,0,8,0,8,8,23,12,G. Bordeaux,3,0,0
261,Khvicha Kvaratskhelia,Serie A,80000000,Georgien,Sturm,2737,668,3405,"11,1","0,9",12,0,11,7,23,22,SSC Neapel,8,0,-1
262,Georges Mikautadze,Ligue 1,15000000,Georgien,Sturm,1747,18,1765,"9,5",0,"9,5",0,13,4,23,8,FC Metz,1,0,"3,5"
